collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 11, y: 20 }
collapsed tile_type_id: 3011764504051536469 on position: GridPosition2D { x: 11, y: 21 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 12, y: 21 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 13, y: 21 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 14, y: 21 }
collapsed tile_type_id: 8425006891797513863 on position: GridPosition2D { x: 15, y: 21 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 15, y: 20 }
collapsed tile_type_id: 5783018735775908539 on position: GridPosition2D { x: 21, y: 12 }
collapsed tile_type_id: 11317814747890366409 on position: GridPosition2D { x: 22, y: 12 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 22, y: 13 }
collapsed tile_type_id: 5783018735775908539 on position: GridPosition2D { x: 22, y: 14 }
collapsed tile_type_id: 11317814747890366409 on position: GridPosition2D { x: 23, y: 14 }
collapsed tile_type_id: 5783018735775908539 on position: GridPosition2D { x: 23, y: 15 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 24, y: 15 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 25, y: 15 }
collapsed tile_type_id: 11317814747890366409 on position: GridPosition2D { x: 26, y: 15 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 26, y: 16 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 26, y: 17 }
collapsed tile_type_id: 5783018735775908539 on position: GridPosition2D { x: 26, y: 18 }
collapsed tile_type_id: 373670097823469708 on position: GridPosition2D { x: 27, y: 18 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 27, y: 17 }
collapsed tile_type_id: 11317814747890366409 on position: GridPosition2D { x: 28, y: 18 }
collapsed tile_type_id: 5783018735775908539 on position: GridPosition2D { x: 28, y: 19 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 27, y: 16 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 27, y: 15 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 28, y: 15 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 27, y: 19 }
collapsed tile_type_id: 11317814747890366409 on position: GridPosition2D { x: 29, y: 19 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 29, y: 20 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 27, y: 20 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 27, y: 14 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 29, y: 21 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 27, y: 21 }
collapsed tile_type_id: 8425006891797513863 on position: GridPosition2D { x: 29, y: 22 }
collapsed tile_type_id: 6300718678939266956 on position: GridPosition2D { x: 27, y: 23 }
collapsed tile_type_id: 1448923702020883883 on position: GridPosition2D { x: 28, y: 22 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 28, y: 23 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 27, y: 22 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 26, y: 23 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 28, y: 24 }
collapsed tile_type_id: 8425006891797513863 on position: GridPosition2D { x: 28, y: 25 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 27, y: 25 }
collapsed tile_type_id: 1448923702020883883 on position: GridPosition2D { x: 26, y: 25 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 26, y: 26 }
collapsed tile_type_id: 8425006891797513863 on position: GridPosition2D { x: 26, y: 27 }
collapsed tile_type_id: 1448923702020883883 on position: GridPosition2D { x: 25, y: 27 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 25, y: 28 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 25, y: 29 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 15, y: 19 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 15, y: 18 }
collapsed tile_type_id: 1448923702020883883 on position: GridPosition2D { x: 15, y: 17 }
collapsed tile_type_id: 8425006891797513863 on position: GridPosition2D { x: 16, y: 17 }
collapsed tile_type_id: 1448923702020883883 on position: GridPosition2D { x: 16, y: 16 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 17, y: 16 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 18, y: 16 }
collapsed tile_type_id: 8425006891797513863 on position: GridPosition2D { x: 19, y: 16 }
collapsed tile_type_id: 18397408762225249521 on position: GridPosition2D { x: 21, y: 15 }
collapsed tile_type_id: 1448923702020883883 on position: GridPosition2D { x: 19, y: 15 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 20, y: 15 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 21, y: 16 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 21, y: 17 }
collapsed tile_type_id: 4643307915068691353 on position: GridPosition2D { x: 21, y: 18 }
collapsed tile_type_id: 7821498657060399440 on position: GridPosition2D { x: 20, y: 18 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 20, y: 19 }
collapsed tile_type_id: 3581286759452194674 on position: GridPosition2D { x: 20, y: 20 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 19, y: 20 }
collapsed tile_type_id: 4643307915068691353 on position: GridPosition2D { x: 20, y: 21 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 19, y: 21 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 18, y: 20 }
collapsed tile_type_id: 2646829784905817334 on position: GridPosition2D { x: 16, y: 20 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 17, y: 20 }
collapsed tile_type_id: 7821498657060399440 on position: GridPosition2D { x: 17, y: 21 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 17, y: 18 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 17, y: 19 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 18, y: 21 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 17, y: 22 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 16, y: 21 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 16, y: 22 }
collapsed tile_type_id: 3011764504051536469 on position: GridPosition2D { x: 17, y: 23 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 16, y: 23 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 18, y: 23 }
collapsed tile_type_id: 18397408762225249521 on position: GridPosition2D { x: 19, y: 23 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 21, y: 20 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 19, y: 24 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 19, y: 25 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 19, y: 26 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 19, y: 27 }
collapsed tile_type_id: 3011764504051536469 on position: GridPosition2D { x: 19, y: 28 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 20, y: 28 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 21, y: 28 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 22, y: 28 }
collapsed tile_type_id: 18397408762225249521 on position: GridPosition2D { x: 23, y: 28 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 23, y: 29 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 29, y: 15 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 22, y: 20 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 23, y: 20 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 24, y: 20 }
collapsed tile_type_id: 6174252313811899798 on position: GridPosition2D { x: 25, y: 20 }
collapsed tile_type_id: 16707379701485225688 on position: GridPosition2D { x: 25, y: 23 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 25, y: 21 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 25, y: 22 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 25, y: 24 }
collapsed tile_type_id: 6300718678939266956 on position: GridPosition2D { x: 25, y: 26 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 25, y: 25 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 24, y: 26 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 23, y: 26 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 22, y: 26 }
collapsed tile_type_id: 14073374134509645807 on position: GridPosition2D { x: 21, y: 26 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 21, y: 25 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 21, y: 24 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 24, y: 23 }
collapsed tile_type_id: 17140795612724603873 on position: GridPosition2D { x: 21, y: 23 }
collapsed tile_type_id: 6174252313811899798 on position: GridPosition2D { x: 23, y: 22 }
collapsed tile_type_id: 14073374134509645807 on position: GridPosition2D { x: 23, y: 23 }
collapsed tile_type_id: 1773917908015734811 on position: GridPosition2D { x: 21, y: 22 }
collapsed tile_type_id: 10452321127363514079 on position: GridPosition2D { x: 22, y: 22 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 25, y: 14 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 7, y: 18 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 9, y: 14 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 16, y: 18 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 29, y: 18 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 10, y: 14 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 16, y: 19 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 8, y: 14 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 16, y: 24 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 18, y: 18 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 24, y: 14 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 26, y: 14 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 8, y: 8 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 9, y: 8 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 22, y: 10 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 23, y: 12 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 23, y: 11 }
collapsed tile_type_id: 2646829784905817334 on position: GridPosition2D { x: 23, y: 10 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 24, y: 10 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 24, y: 9 }
collapsed tile_type_id: 18441512323311480472 on position: GridPosition2D { x: 25, y: 10 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 24, y: 8 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 23, y: 8 }
collapsed tile_type_id: 11388844671832972472 on position: GridPosition2D { x: 24, y: 7 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 23, y: 7 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 22, y: 8 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 21, y: 8 }
collapsed tile_type_id: 11388844671832972472 on position: GridPosition2D { x: 22, y: 7 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 21, y: 7 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 22, y: 9 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 20, y: 8 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 23, y: 6 }
collapsed tile_type_id: 431050159513096486 on position: GridPosition2D { x: 25, y: 8 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 25, y: 7 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 21, y: 6 }
